1728031229.476933 client started (911): version 3.3a, socket /private/tmp/tmux-502/default, protocol 8
1728031229.477003 on Darwin 23.6.0 Darwin Kernel Version 23.6.0: Mon Jul 29 21:14:30 PDT 2024; root:xnu-10063.141.2~1/RELEASE_ARM64_T6000
1728031229.477014 using libevent 2.1.12-stable (select); utf8proc 2.9.0; ncurses 6.0
1728031229.477031 flags are 0x10010000
1728031229.477036 socket is /private/tmp/tmux-502/default
1728031229.477050 trying connect
1728031229.477111 add peer 0x120008000: 6 (0x0)
1728031229.479841 sending message 100 to peer 0x120008000 (4 bytes)
1728031229.479864 sending message 111 to peer 0x120008000 (8 bytes)
1728031229.479870 sending message 101 to peer 0x120008000 (15 bytes)
1728031229.479875 sending message 109 to peer 0x120008000 (4 bytes)
1728031229.479880 sending message 102 to peer 0x120008000 (13 bytes)
1728031229.479884 sending message 108 to peer 0x120008000 (39 bytes)
1728031229.479889 sending message 112 to peer 0x120008000 (58 bytes)
1728031229.479895 sending message 112 to peer 0x120008000 (5 bytes)
1728031229.479900 sending message 112 to peer 0x120008000 (5 bytes)
1728031229.479904 sending message 112 to peer 0x120008000 (6 bytes)
1728031229.479908 sending message 112 to peer 0x120008000 (6 bytes)
1728031229.479912 sending message 112 to peer 0x120008000 (11 bytes)
1728031229.479916 sending message 112 to peer 0x120008000 (10 bytes)
1728031229.479920 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.479924 sending message 112 to peer 0x120008000 (14 bytes)
1728031229.479928 sending message 112 to peer 0x120008000 (19 bytes)
1728031229.479932 sending message 112 to peer 0x120008000 (11 bytes)
1728031229.479936 sending message 112 to peer 0x120008000 (10 bytes)
1728031229.479940 sending message 112 to peer 0x120008000 (15 bytes)
1728031229.479944 sending message 112 to peer 0x120008000 (21 bytes)
1728031229.479949 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.479953 sending message 112 to peer 0x120008000 (7 bytes)
1728031229.479957 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.479961 sending message 112 to peer 0x120008000 (7 bytes)
1728031229.479965 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.479969 sending message 112 to peer 0x120008000 (9 bytes)
1728031229.479973 sending message 112 to peer 0x120008000 (21 bytes)
1728031229.479977 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.479981 sending message 112 to peer 0x120008000 (9 bytes)
1728031229.479985 sending message 112 to peer 0x120008000 (16 bytes)
1728031229.479989 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.479993 sending message 112 to peer 0x120008000 (9 bytes)
1728031229.479998 sending message 112 to peer 0x120008000 (9 bytes)
1728031229.480002 sending message 112 to peer 0x120008000 (12 bytes)
1728031229.480006 sending message 112 to peer 0x120008000 (8 bytes)
1728031229.480009 sending message 112 to peer 0x120008000 (8 bytes)
1728031229.480013 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480017 sending message 112 to peer 0x120008000 (7 bytes)
1728031229.480021 sending message 112 to peer 0x120008000 (7 bytes)
1728031229.480025 sending message 112 to peer 0x120008000 (9 bytes)
1728031229.480029 sending message 112 to peer 0x120008000 (9 bytes)
1728031229.480033 sending message 112 to peer 0x120008000 (15 bytes)
1728031229.480037 sending message 112 to peer 0x120008000 (13 bytes)
1728031229.480041 sending message 112 to peer 0x120008000 (12 bytes)
1728031229.480045 sending message 112 to peer 0x120008000 (8 bytes)
1728031229.480049 sending message 112 to peer 0x120008000 (14 bytes)
1728031229.480053 sending message 112 to peer 0x120008000 (11 bytes)
1728031229.480057 sending message 112 to peer 0x120008000 (9 bytes)
1728031229.480061 sending message 112 to peer 0x120008000 (10 bytes)
1728031229.480065 sending message 112 to peer 0x120008000 (10 bytes)
1728031229.480069 sending message 112 to peer 0x120008000 (10 bytes)
1728031229.480073 sending message 112 to peer 0x120008000 (10 bytes)
1728031229.480077 sending message 112 to peer 0x120008000 (11 bytes)
1728031229.480093 sending message 112 to peer 0x120008000 (12 bytes)
1728031229.480096 sending message 112 to peer 0x120008000 (12 bytes)
1728031229.480098 sending message 112 to peer 0x120008000 (12 bytes)
1728031229.480101 sending message 112 to peer 0x120008000 (12 bytes)
1728031229.480104 sending message 112 to peer 0x120008000 (12 bytes)
1728031229.480107 sending message 112 to peer 0x120008000 (11 bytes)
1728031229.480109 sending message 112 to peer 0x120008000 (11 bytes)
1728031229.480112 sending message 112 to peer 0x120008000 (12 bytes)
1728031229.480115 sending message 112 to peer 0x120008000 (12 bytes)
1728031229.480117 sending message 112 to peer 0x120008000 (12 bytes)
1728031229.480120 sending message 112 to peer 0x120008000 (12 bytes)
1728031229.480122 sending message 112 to peer 0x120008000 (12 bytes)
